Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Fri, 18 Mar 2022 20:25:14 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2011-0157-PHL,2011,0157,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Bebeng (Aere),Philippines (the),PHL,South-Eastern Asia,Asia,"Bulacan, Zambales districts (Region III (Central Luzon) province), Cebu district (Region VII (Central Visayas) province), Eastern Samar, Leyte, Northern Samar, Samar districts (Region VIII (Eastern Visayas) province), National Capital region (NCR), Region V (Bicol region)",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2011,5,8,2011,5,11,37,11,430081,,430092,,,,,31259,37656,83.01267439,1;2,2355;2361,24221;24225;24253;24257;24258;24259;24261,"National Capital region (NCR), Region V (Bicol region) (Adm1). Bulacan, Cebu, Eastern Samar, Leyte, Northern Samar, Samar, Zambales (Adm2)."
2011-0203-PHL,2011,0203,,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Dodong"" (Sarika)",Philippines (the),PHL,South-Eastern Asia,Asia,"National Capital region (NCR), Region III (Central Luzon), Region IV (Southern Tagalog), Region IV-A (Calabarzon) provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2011,6,9,2011,6,10,9,1,1151,,1152,,,,,,,83.01267439,1,2355;67165;67166;67167,,"National Capital region (NCR), Region III (Central Luzon), Region IV (Southern Tagalog), Region IV-A (Calabarzon) (Adm1)."
2011-0231-PHL,2011,0231,,Natural,Meteorological,Storm,Tropical cyclone,,"Topical storm ""Meari"" (Falcon)",Philippines (the),PHL,South-Eastern Asia,Asia,"Pangasinan district (Region I (Ilocos region) province), Batangas, Cavite, Rizal districts (Region IV-A (Calabarzon) province), Albay, Camarines Sur districts (Region V (Bicol region) province, National Capital region (NCR), Region III (Central Luzon) provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,120,Kph,,,,,2011,6,21,2011,6,25,20,4,1700085,,1700089,,,,,12869,15502,83.01267439,1;2,2355;67165,24214;24227;24228;24235;24240;24242,"National Capital region (NCR), Region III (Central Luzon) (Adm1). Albay, Batangas, Camarines Sur, Cavite, Pangasinan, Rizal (Adm2)."
2011-0272-PHL,2011,0272,TC-2011-000095,Natural,Meteorological,Storm,Tropical cyclone,,Topical storm Juaning (Nock-ten),Philippines (the),PHL,South-Eastern Asia,Asia,"La Pinas area (Metropolitan Manila district, National Capital region (NCR) province), Nueva Ecija district (Region III (Central Luzon) province), Cavite, Quezon districts (Region IV-A (Calabarzon) province), Marinduque district (Region IV (Southern Tagalog) province), Iloilo district (Region VI (Western Visayas) province), Siquijor district (Region VII (Central Visayas) province), Leyte district (Region VIII (Eastern Visayas) province), Ifugao district (Cordillera Administrative region (CAR) province), Region V (Bicol region) province",,Flood,"Slide (land, mud, snow, rock)",,,,,,Kph,,,,,2011,7,26,2011,7,27,84,53,1108171,,1108224,,,,,63258,76203,83.01267439,1;2,2361,24207;24210;24222;24228;24230;24234;24250;24255;24258,"Region V (Bicol region) (Adm1). Cavite, Ifugao, Iloilo, Leyte, Marinduque, Metropolitan Manila, Nueva Ecija, Quezon, Siquijor (Adm2)."
2011-0195-USA,2011,0195,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Illinois, Massachusetts, Michigan, Minnesota, North Dakota provinces",,Flood,Hail,,,Yes,,260,Kph,,,,,2011,5,29,2011,6,1,3,200,,,200,,,450000,542086,,,83.01267439,1,3227;3235;3236;3237;3248,,"Illinois, Massachusetts, Michigan, Minnesota, North Dakota (Adm1)."
2011-0241-MEX,2011,0241,,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical Storm ""Arlene""",Mexico,MEX,Central America,Americas,"Isla, Tamalin, Tamiahua, Tampico Alto districts (Veracruz province)",,"Slide (land, mud, snow, rock)",Flood,,,,,,Kph,22.11,-98.75,,,2011,6,30,2011,7,1,22,,300000,,300000,,,,,70000,84324,83.01267439,2,,21147;21222;21223;21224,"Isla, Tamalin, Tamiahua, Tampico Alto (Adm2)."
2011-0029-USA,2011,0029,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,United States of America (the),USA,Northern America,Americas,"Oklahoma, Texas, Missouri, Wisconsin, Minnesota, Colorado, Wyoming, Alabama, Arkansas, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, New York, New Jersey, Pennsylvania provinces",,Cold wave,,,,,,,Kph,,,,,2011,1,31,2011,2,2,39,,,,,,,1425000,1716605,1900000,2288807,83.01267439,1,3214;3217;3219;3221;3223;3224;3231;3232;3234;3237;3238;3239;3244;3246;3247;3250;3252;3254;3256;3257;3260;3262;3263;3264,,"Alabama, Arkansas, Colorado, Delaware, Florida, Georgia, Kentucky, Louisiana, Maryland, Minnesota, Mississippi, Missouri, New Jersey, New York, North Carolina, Oklahoma, Pennsylvania, South Carolina, Tennessee, Texas, Virginia, West Virginia, Wisconsin, Wyoming (Adm1)."
2011-0267-MEX,2011,0267,,Natural,Meteorological,Storm,Tropical cyclone,,"Tropical storm ""Dora""",Mexico,MEX,Central America,Americas,"Guerrero, Oaxaca provinces",,Flood,,,,,,150,Kph,,,,,2011,7,20,2011,7,20,3,,200000,,200000,,,,,,,83.01267439,1,2039;2047,,"Guerrero, Oaxaca (Adm1)."
2011-0145-USA,2011,0145,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Alabama, Arkansas, Kentucky, Mississippi, Missouri, Tennessee, Oklahoma provinces",,Flood,,,,Yes,,340,Kph,,,,,2011,4,22,2011,4,29,354,2200,,15000,17200,,,8000000,9637083,11000000,13250989,83.01267439,1,3214;3217;3231;3238;3239;3250;3256,,"Alabama, Arkansas, Kentucky, Mississippi, Missouri, Oklahoma, Tennessee (Adm1)."
2011-0105-MEX,2011,0105,,Natural,Meteorological,Extreme temperature,Cold wave,,,Mexico,MEX,Central America,Americas,"Sinaloa, Sonora, Tamaulipas provinces",,,,,,Yes,,-15,°C,,,,,2011,2,1,2011,2,8,3,,120000,,120000,,,200000,240927,500000,602318,83.01267439,1,2052;2053;2055,,"Sinaloa, Sonora, Tamaulipas (Adm1)."
2011-0101-PHL,2011,0101,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Bulusan,Philippines (the),PHL,South-Eastern Asia,Asia,"Irosin, Juban, Bulan areas (Sorsogon district, Region V (Bicol region) province)",,,,,,,,,,12.77,124.05,,,2011,2,21,2011,2,21,,,32616,,32616,,,,,,,83.01267439,2,,24245,Sorsogon (Adm2).
2011-0134-USA,2011,0134,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Mississippi, Alabama, Oklahoma, Texas, North Carolina, Kansas provinces",,,,,,Yes,,260,Kph,,,,,2011,4,14,2011,4,16,46,43,,,43,,,1500000,1806953,2000000,2409271,83.01267439,1,3214;3230;3238;3247;3250;3257,,"Alabama, Kansas, Mississippi, North Carolina, Oklahoma, Texas (Adm1)."
2011-0172-USA,2011,0172,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Jasper, Newton districts (Missouri province)",,,,,,,,320,Kph,,,,,2011,5,20,2011,5,25,176,1150,,,1150,,,6900000,8311984,14000000,16864895,83.01267439,2,,30209;30233,"Jasper, Newton (Adm2)."
2011-0189-USA,2011,0189,,Natural,Meteorological,Storm,Convective storm,Tornado,,United States of America (the),USA,Northern America,Americas,"Missouri, Kansas, Texas provinces",,,,,,,,,Kph,,,,,2011,5,24,2011,5,24,11,,,,,,,,,,,83.01267439,1,3230;3239;3257,,"Kansas, Missouri, Texas (Adm1)."
2011-0264-USA,2011,0264,,Natural,Meteorological,Extreme temperature,Heat wave,,,United States of America (the),USA,Northern America,Americas,"New York, Washington, Texas, Ohio, Maine, Iowa, Illinois, Minnesota, Nebraska, Wisconsin, South Dakota provinces",,,,,,,,50,°C,,,,,2011,7,19,2011,7,22,22,,,,,,,,,,,83.01267439,1,3227;3229;3233;3237;3241;3246;3249;3255;3257;3261;3263,,"Illinois, Iowa, Maine, Minnesota, Nebraska, New York, Ohio, South Dakota, Texas, Washington, Wisconsin (Adm1)."
2011-0328-CAN,2011,0328,TC-2011-000114,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Irene,Canada,CAN,Northern America,Americas,"New Brunswick,Nova Scotia, Prince Edward Island provinces",,Flood,,,,,,130,Kph,,,,,2011,8,28,2011,8,29,1,,,,,,,,,,,83.01267439,1,828;831;834,,"New Brunswick / Nouveau-Brunswick, Nova Scotia / Nouvelle-écosse, Prince Edward Island / Île-du-Prince-Edouard (Adm1)."
2011-0568-IDN,2011,0568,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Gamalama,Indonesia,IDN,South-Eastern Asia,Asia,Kota Ternate district (Maluku Utara province),,Flood,,,,,,,,0.8,127.33,,,2011,12,4,2011,12,27,3,5,2368,,2373,,,,,,,83.01267439,2,,73758,Kota Ternate (Adm2).
2011-0323-CAN,2011,0323,,Natural,Meteorological,Storm,Convective storm,Tornado,,Canada,CAN,Northern America,Americas,"Goderich town (Huron district, Ontario province)",,,,,,,,300,Kph,,,,,2011,8,21,2011,8,24,1,20,,,20,,,,,,,83.01267439,2,,12658,Huron (Adm2).
2011-0389-IDN,2011,0389,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Subulussalam city (Aceh Singkil district, Nangroe Aceh Darussalam province)",,,,,,,,7,Richter,2.965,97.893,,,2011,9,5,2011,9,5,10,,,,,,,,,5850,7047,83.01267439,2,,73627,Aceh Singkil (Adm2).
2011-0506-IDN,2011,0506,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Lokon,Indonesia,IDN,South-Eastern Asia,Asia,"Kota Manado, Kota Tomohon, Minahasa Selatan, Minahasa Utara, Minahasa districts (Sulawesi Utara province)",,,,,,,,,,1.358333,124.79,,,2011,7,11,2011,7,17,,,,6000,6000,,,,,,,83.01267439,2,,18200;73760;73798;73799;73800,"Kota Manado, Kota Tomohon, Minahasa, Minahasa Selatan, Minahasa Utara (Adm2)."
2012-0558-IDN,2012,0558,,Natural,Meteorological,Storm,Convective storm,,Tropical Cyclone Iggy,Indonesia,IDN,South-Eastern Asia,Asia,"Dki Jakarta, Jawa Tengah, Jawa Timur, Jawa Barat provinces",,"Slide (land, mud, snow, rock)",Surge,,,,,,Kph,,,,,2012,1,25,2012,1,25,16,60,10000,,10060,,,,,1000,1180,84.7304789,1,1516;1520;1521;73613,,"Dki Jakarta, Jawa Barat, Jawa Tengah, Jawa Timur (Adm1)."
2012-0493-CAN,2012,0493,,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Canada,CAN,Northern America,Americas,"Quebec, Ontario, Nova Scotia provinces",,,,,,,,,Kph,,,,,2012,12,24,2012,12,27,,,,,,,,,,,,84.7304789,1,831;833;835,,"Nova Scotia / Nouvelle-écosse, Ontario, Quebec / Québec (Adm1)."
2012-0626-CAN,2012,0626,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Canada,CAN,Northern America,Americas,"Calgary town (Division No. 6 district, Alberta province)",,,,,,,,,Kph,,,,,2012,8,12,2012,8,12,,,,,,,,530,626,1050000,1239223,84.7304789,2,,12525,Division No. 6 (Adm2).
2012-0561-IDN,2012,0561,,Natural,Meteorological,Storm,Convective storm,Tornado,,Indonesia,IDN,South-Eastern Asia,Asia,"Sulawesi Selatan, Sumatera Utara provinces",,,,,,,,,Kph,,,,,2012,2,25,2012,2,25,5,,,490,490,,,,,,,84.7304789,1,1537;73620,,"Sulawesi Selatan, Sumatera Utara (Adm1)."
2012-0097-IDN,2012,0097,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Simeulue district (Nangroe Aceh Darussalam province),,,,,,,,9,Richter,2.327,93.063,,,2012,4,11,2012,4,11,7,107,,,107,,,,,,,84.7304789,2,,73850,Simeulue (Adm2).
2012-0398-IDN,2012,0398,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Lindu village (Sigi area, Donggala district, Sulawesi Tengah province)",,,,,,,,6,Richter,-1.315,120.096,05:41,,2012,8,18,2012,8,18,6,43,5485,2355,7883,,,,,,,84.7304789,2,,73671,Donggala (Adm2).
2013-0235-IDN,2013,0235,EQ-2013-000073,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,"Aceh Tengah, Bener Meriah districts (Nangroe Aceh Darussalam province)",,"Slide (land, mud, snow, rock)",,Yes,,,,6,Richter,4.645,96.665,,,2013,7,2,2013,7,2,48,2532,53403,,55935,,,,,130000,151213,85.97164225,2,,73629;73650,"Aceh Tengah, Bener Meriah (Adm2)."
2013-0365-BOL,2013,0365,,Natural,Meteorological,Extreme temperature,Heat wave,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Cocapata village (Ayopaya district, Cochabamba province), Quime village (Inquisivi district, La Paz province), Tinquipaya areas (Tomas Frias district, Potosi province), Uncía, Llallagua areas (Rafael Bustillo district, Potosi province), Colquechaca area (Chayanta district, Potosi province), Tomave area (Antonio Quijarro district, Potosi province)",,,,,,,,,°C,,,,,2013,8,,2013,8,,18,,17490,,17490,,,,,,,85.97164225,2,,40465;40484;40508;40510;40519;40522,"Antonio Quijarro, Ayopaya, Chayanta, Inquisivi, Rafael Bustillo, Tomas Frias (Adm2)."
2013-0528-CAN,2013,0528,,Natural,Meteorological,Extreme temperature,Severe winter conditions,Snow/Ice,,Canada,CAN,Northern America,Americas,"Ontario, Quebec provinces",,,,,,,,,°C,,,,,2013,12,21,2013,12,22,10,,,,,,,,,200000,232635,85.97164225,1,833;835,,"Ontario, Quebec / Québec (Adm1)."
2013-0020-IDN,2013,0020,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Nangroe Aceh Darussalam province,,,,,,,,6,Richter,4.927,95.907,,,2013,1,22,2013,1,22,1,15,500,,515,,,,,,,85.97164225,1,1512,,Nangroe Aceh Darussalam (Adm1).
2013-0436-IDN,2013,0436,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Nangroe Aceh Darussalam province,,,,,,,,5,Richter,5.1033,95.9709,12:40,,2013,10,22,2013,10,22,1,3,2735,,2738,,,,,,,85.97164225,1,1512,,Nangroe Aceh Darussalam (Adm1).
2011-0385-MEX,2011,0385,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Jova,Mexico,MEX,Central America,Americas,"Puerto Vallarta district (Jalisco province), Manzanillo district (Colima province), Michoacan, Nayarit provinces",,Flood,"Slide (land, mud, snow, rock)",,,,,160,Kph,,,,,2011,10,10,2011,11,1,5,,50000,,50000,,,,,27700,33368,83.01267439,1;2,2043;2045,19818;20153,"Michoacan, Nayarit (Adm1). Manzanillo, Puerto Vallarta (Adm2)."
2011-0279-PHL,2011,0279,TC-2011-000099 - FL-2011-,Natural,Meteorological,Storm,Tropical cyclone,,"Typhoon ""Kabayan"" (Muifa)",Philippines (the),PHL,South-Eastern Asia,Asia,"Mandaluyong, Marikina, Quezon, San Juan cities (Metropolitan Manila district, National Capital region (NCR) province), Japalit area (Pampanga district, Region III (Central Luzon) province), Paniqui area (Tarlac district, Region III (Central Luzon) province), Calatagan, Malvar areas (Batangas district, Region IV-A (Calabarzon) province), Antopolo City, Rodriguez, San Mateo areas (Rizal district, Region IV-A (Calabarzon) province)",,Flood,"Slide (land, mud, snow, rock)",,,,,165,Kph,,,,,2011,8,2,2011,8,2,11,5,8418,,8423,,,,,59,71,83.01267439,2,,24210;24223;24224;24227;24235,"Batangas, Metropolitan Manila, Pampanga, Rizal, Tarlac (Adm2)."
2011-0519-PHL,2011,0519,TC-2011-000189,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Washi (Sendong),Philippines (the),PHL,South-Eastern Asia,Asia,"Cagayan district (Region II (Cagayan Valley) province), Negros Oriental, Cebu districts (Region VII (Central Visayas) province), Zamboanga del Norte district (Region IX (Zamboanga Peninsula) province), Misamis Oriental, Lanao del Norte, Bukidnon districts (Region X (Northern Mindanao) province), Compostela district (Region XI (Davao Region) province), Surigao del Sur district (Region XIII (Caraga) province), Lanao del Sur district (Autonomous region in Muslim Mindanao (ARMM) province)",,Flood,"Slide (land, mud, snow, rock)",Yes,,Yes,,,Kph,8.526,124.88,,,2011,12,15,2011,12,18,1439,6071,1144229,,1150300,,,,,38082,45875,83.01267439,2,,24200;24216;24238;24253;24254;24262;24265;24266;24272;24278,"Bukidnon, Cagayan, Cebu, Compostela, Lanao Del Norte, Lanao Del Sur, Misamis Oriental, Negros Oriental, Surigao Del Sur, Zamboanga Del Norte (Adm2)."
2011-0378-PHL,2011,0378,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Quiel (Nalgae),Philippines (the),PHL,South-Eastern Asia,Asia,"Cordillera Administrative region (CAR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon) provinces",,"Slide (land, mud, snow, rock)",,,,,,,Kph,,,,,2011,10,1,2011,10,1,25,12,1113763,,1113775,,,,,2655,3198,83.01267439,1,2354;2356;2357;67165,,"Cordillera Administrative region (CAR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon) (Adm1)."
2011-0555-PHL,2011,0555,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Chedeng (Songda),Philippines (the),PHL,South-Eastern Asia,Asia,"Taguig city (Metropolitan Manila district, National Capital region (NCR) province), Isabela district (Region II (Cagayan Valley) province), Albay, Camarines Norte, Camarines Sur, Catanduanes, Sorsogon districts (Region V (Bicol region) province), Zamboanga del Sur district (Region IX (Zamboanga Peninsula) province), Bukidnon district (Region X (Northern Mindanao) province), Compostela, Davao del Norte districts (Region XI (Davao Region) province), Lanao del Sur, Maguindanao districts (Autonomous region in Muslim Mindanao (ARMM) province)",,Flood,,,,,,,Kph,,,,,2011,5,20,2011,5,29,,,446907,,446907,,,,,431,519,83.01267439,2,,24200;24210;24217;24240;24241;24242;24243;24245;24262;24266;24267;67164;67174,"Albay, Bukidnon, Camarines Norte, Camarines Sur, Catanduanes, Compostela, Davao del Norte, Isabela, Lanao Del Sur, Maguindanao, Metropolitan Manila, Sorsogon, Zamboanga Del Sur (Adm2)."
2011-9529-NER,2011,9529,,Natural,Climatological,Drought,Drought,,,Niger (the),NER,Western Africa,Africa,"Diffa, N'Guigmi districts (Diffa province); Dogondoutchi, Loga districts (Dosso province); Aguie, Guidan Roumji, Madarounfa, Mayahi districts (Maradi province); Bouza, Illela, Birni N'konni, Madaoua districts (Tahoua province); Filingue, Ouallam, Tera, Tillaberi (Tillaberi); Goure, Matamey, Tanout (Zinder)","Dry spells and pests, bad harvests 2010/2011",Food shortage,,Yes,,,,,Km2,,,,,2011,,,2012,,,,,3000000,,3000000,,,,,,,83.01267439,2,,22554;22556;22558;22561;22562;22564;22565;22566;22571;22572;22573;22575;22578;22580;22582;22583;22584;22586;22588,"Aguie, Birni N'konni, Bouza, Diffa, Dogondoutchi, Filingue, Goure, Guidan Roumji, Illela, Loga, Madaoua, Madarounfa, Matamey, Mayahi, N'guigmi, Ouallam, Tanout, Tera, Tillaberi (Adm2)."
2011-0460-MEX,2011,0460,,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Nate,Mexico,MEX,Central America,Americas,Tabasco province,,Transport accident,,,,,,100,Kph,,,,,2011,9,9,2011,9,9,10,,,,,,,,,,,83.01267439,1,2054,,Tabasco (Adm1).
2011-0512-MEX,2011,0512,,Natural,Geophysical,Earthquake,Ground movement,,,Mexico,MEX,Central America,Americas,Guerrero province,,,,,,,,7,Richter,17.986,-99.789,19:47,,2011,12,11,2011,12,11,2,2,150,,152,,,,,,,83.01267439,1,2039,,Guerrero (Adm1).
2011-9363-MEX,2011,9363,,Natural,Climatological,Drought,Drought,,,Mexico,MEX,Central America,Americas,"Nuevo Leon, Guanajuato, Sonora, Chihuahua, Coahuila, Durango, Zacatecas, San Luis Potosi provinces",,,,,,,,,Km2,,,,,2011,9,,2011,12,,,,2500000,,2500000,,,,,,,83.01267439,1,2033;2034;2037;2038;2046;2051;2053;2059,,"Chihuahua, Coahuila, Durango, Guanajuato, Nuevo Leon, San Luis Potosi, Sonora, Zacatecas (Adm1)."
2011-0445-PHL,2011,0445,,Natural,Geophysical,Earthquake,Ground movement,,,Philippines (the),PHL,South-Eastern Asia,Asia,"Valencia area (Bukidnon district, Region X (Northern Mindanao) province)",,,,,,,,5,Richter,7.904,125.195,,,2011,11,7,2011,11,7,,3,25,,28,,,,,,,83.01267439,2,,24262,Bukidnon (Adm2).
2011-0564-PHL,2011,0564,,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Taal,Philippines (the),PHL,South-Eastern Asia,Asia,"Talisay, San Nicolas, Balete areas (Batangas district, Region IV-A (Calabarzon) province)",,,,,,,,,,14.002,120.993,,,2011,3,17,2011,4,18,,,1315,,1315,,,,,,,83.01267439,2,,24227,Batangas (Adm2).
2011-0341-PHL,2011,0341,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Mina (Nanmadol),Philippines (the),PHL,South-Eastern Asia,Asia,"Quezon City area (Metropolitan Manila district, National Capital region (NCR) province), Zambales, Bulacan districts (Region III (Central Luzon) province), Iloilo district (Region IV (Southern Tagalog) province), Benguet, Abra, Mountain Province districts (Cordillera Administrative region (CAR) province), Catanduanes district (Region V (Bicol region) province), Zamboanga Del Sur district (Region IX (Zamboanga Peninsula) province), Region I (Ilocos region) province",,,,,,,,,Kph,,,,,2011,8,27,2011,8,29,43,37,403193,,403230,,,,,34452,41502,83.01267439,1;2,2356,24204;24206;24209;24210;24221;24225;24243;24250;67164,"Region I (Ilocos region) (Adm1). Abra, Benguet, Bulacan, Catanduanes, Iloilo, Metropolitan Manila, Mountain Province, Zambales, Zamboanga Del Sur (Adm2)."
2011-0379-PHL,2011,0379,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Pedring (Nesat),Philippines (the),PHL,South-Eastern Asia,Asia,"Mindoro Occidental, Mindoro Oriental, Romblon districts (Region IV (Southern Tagalog) province), Albay, Camarines Norte, Camarines Sur, Catanduanes districts (Region V (Bicol region) province), Antique, Iloilo districts (Region VI (Western Visayas) province), Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV-A (Calabarzon) province",,,,,,,,,Kph,,,,,2011,9,24,2011,9,24,103,91,3030755,,3030846,,,,,344173,414603,83.01267439,1;2,2354;2355;2356;2357;67165;67166,24231;24232;24236;24240;24241;24242;24243;24247;24250,"Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV-A (Calabarzon) (Adm1). Albay, Antique, Camarines Norte, Camarines Sur, Catanduanes, Iloilo, Mindoro Occidental, Mindoro Oriental, Romblon (Adm2)."
